medicine_name,formula,dose,manufacturer,price,rating
Simvastatin (Teva),Simvastatin,40mg film-coated tablets (28 pack),Teva,£6.80,4.2
Zocor,Simvastatin,40mg film-coated tablets (28 pack),Merck,£18.90,4.7
Atorvastatin,Atorvastatin,20mg film-coated tablets (28 pack),Pfizer,£25.60,4.6
Atorvastatin (Accord),Atorvastatin,20mg film-coated tablets (28 pack),Accord Healthcare,£12.80,4.3
Lipitor,Atorvastatin,20mg film-coated tablets (28 pack),Pfizer,£35.20,4.9
Calpol,Paracetamol,250mg/5ml oral suspension (100ml bottle),Johnson & Johnson,£4.80,4.8
Paracetamol Suspension,Paracetamol,500mg/5ml oral suspension (200ml bottle),Generic Manufacturer,£6.20,4.2
Nurofen For Children,Ibuprofen,100mg/5ml oral suspension (100ml bottle),Reckitt Benckiser,£8.40,4.7
Ibuprofen Capsules,Ibuprofen,200mg capsules (30 pack),Boots,£5.60,4.3
Cetirizine Solution,Cetirizine Hydrochloride,1mg/ml oral solution (200ml bottle),UCB Pharma,£12.50,4.4
Omeprazole Suspension,Omeprazole,10mg/ml oral suspension (30ml bottle),AstraZeneca,£45.80,4.6
Metformin 850mg,Metformin Hydrochloride,850mg film-coated tablets (56 pack),Teva,£11.90,4.4
